country,iso_code,year,population_millions,primary_energy_consumption,electricity_demand,energy_per_capita,renewables_share_energy,fossil_share_energy,low_carbon_share_energy,solar_share_energy,wind_share_energy,carbon_intensity_elec
Singapore,SGP,2024,5.83,1053.92,59.63,180701.45,0.55,99.45,0.55,0.3,0.0,498.74
Slovakia,SVK,2024,5.51,181.08,26.57,32882.68,11.3,63.88,36.12,0.94,0.01,96.55
Slovenia,SVN,2024,2.12,79.16,14.3,37360.68,24.74,56.97,43.03,5.75,0.02,230.4
South Africa,ZAF,2024,64.01,1362.49,246.22,21286.55,3.56,95.04,4.96,1.18,1.99,717.36
South Korea,KOR,2024,51.72,3616.22,625.38,69922.41,4.75,82.47,17.53,2.22,0.23,415.51
Spain,ESP,2024,47.91,1624.25,270.71,33901.66,25.86,65.8,34.2,8.62,9.55,146.22
Sri Lanka,LKA,2024,23.1,111.34,17.07,4819.2,23.25,76.75,23.25,5.74,1.74,378.44
Sweden,SWE,2024,10.61,610.0,138.71,57509.57,51.32,27.79,72.21,1.71,16.73,34.91
Switzerland,CHE,2024,8.92,339.27,63.97,38025.83,39.87,43.17,56.83,4.36,0.13,34.58
Taiwan,TWN,2024,23.21,1253.85,288.56,54012.63,6.27,91.35,8.65,2.91,2.02,635.19
Thailand,THA,2024,71.67,1420.82,231.93,19825.01,7.4,92.6,7.4,0.93,0.58,554.73
Trinidad and Tobago,TTO,2024,1.51,159.81,9.55,105988.44,0.01,99.99,0.01,0.01,0.0,681.68
Turkey,TUR,2024,87.47,2093.06,340.24,23927.83,19.79,80.21,19.79,3.56,4.3,469.74
Turkmenistan,TKM,2024,7.49,371.16,24.01,49524.95,0.01,99.99,0.01,0.0,0.0,1306.27
United Arab Emirates,ARE,2024,11.03,1522.04,177.02,138026.48,2.52,90.95,9.05,2.44,0.03,467.51
United Kingdom,GBR,2024,69.14,1936.96,317.35,28015.77,21.29,73.54,26.46,1.88,10.7,216.5
United States,USA,2024,345.43,26528.61,4404.83,76799.57,12.05,80.33,19.67,2.83,4.24,383.78
Uzbekistan,UZB,2024,36.36,695.58,84.43,19129.27,4.58,95.42,4.58,1.52,0.18,1040.12
Venezuela,VEN,2024,28.41,698.55,80.13,24591.88,25.84,74.16,25.84,0.0,0.01,85.86
Vietnam,VNM,2024,100.99,1476.25,307.18,14618.14,21.53,78.47,21.53,4.33,2.13,484.32
